word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
গায়ত্রী,98,119,0.99413,0.0,1.49707
কাফ,115,151,0.85201,0.0,1.42601
বামদেব,43,98,0.83187,0.0,1.41593
রেণু,22,856,0.79372,0.0,1.39686
রেশমী,39,754,0.77911,0.0,1.38956
আদিত্য,30,432,0.73943,0.0,1.36972
সুখময়,40,153,0.72842,0.0,1.36421
ভারতী,1055,27,0.71672,0.0,1.35836
নীত,56,131,0.71215,0.0,1.35607
অলক,47,127,0.70466,0.0,1.35233
গৌতম,52,168,0.70165,0.0,1.35082
সোম,711,225,0.70068,0.0,1.35034
মনু,72,217,0.69964,0.0,1.34982
ভাস্কর,27,296,0.69542,0.0,1.34771
মনোহর,268,330,0.69165,0.0,1.34583
দেবযানী,58,283,0.70889,0.0101,1.34434
সুব,64,246,0.68415,0.0,1.34208
শ্যাম,281,948,0.67747,0.0,1.33874
অনাদি,121,299,0.67704,0.0,1.33852
ফকির,352,584,0.6688,0.0,1.3344
নিউটন,30,72,0.66859,0.0,1.3343
জয়নাল,257,120,0.66676,0.0,1.33338
নূর,53,106,0.66411,0.0,1.33205
মোহিত,305,199,0.66134,0.0,1.33067
শুক্ল,26,61,0.65775,0.0,1.32887
শিশুপাল,81,53,0.6544,0.0,1.3272
বিষ্ণুর,52,78,0.65431,0.0,1.32715
শকুন্তলা,238,348,0.65255,0.0,1.32627
দেবযানীর,24,69,0.65128,0.0,1.32564
লোচন,26,193,0.64652,0.0,1.32326
ভুজঙ্গ,21,101,0.6413,0.0,1.32065
লালন,20,1475,0.63646,0.0,1.31823
বিহারী,1157,33,0.65614,0.0101,1.31797
বনফুল,44,53,0.62034,0.0,1.31017
সুভদ্,35,71,0.6193,0.0,1.30965
গোবিন্দ,727,450,0.61913,0.0,1.30956
শ্রীমতী,100,212,0.61829,0.0,1.30915
উর্বশী,27,39,0.60698,0.0,1.30349
লোকনাথ,51,67,0.60684,0.0,1.30342
কোটাল,22,193,0.60594,0.0,1.30297
অশোক,216,442,0.60463,0.0,1.30231
পালিত,96,124,0.60356,0.0,1.30178
বিজন,212,61,0.60056,0.0,1.30028
স্বামীজী,313,24,0.59391,0.0,1.29696
সবিতা,37,380,0.59238,0.0,1.29619
টমাস,69,451,0.5901,0.0,1.29505
শশাঙ্ক,30,270,0.58951,0.0,1.29476
সন্তোষ,110,246,0.58892,0.0,1.29446
বিশ্বামিত্র,56,40,0.58741,0.0,1.29371
রামা,95,137,0.58743,0.0,1.29371
তুষ,37,931,0.58403,0.0,1.29202
দুর্যোধন,158,41,0.58274,0.0,1.29137
গ্রিক,119,21,0.58117,0.0,1.29058
বনানী,30,88,0.58098,0.0,1.29049
রাবু,45,470,0.57961,0.0,1.28981
তাপস,21,220,0.57931,0.0,1.28966
মৃণাল,274,334,0.57923,0.0,1.28961
উদিত,87,164,0.57784,0.0,1.28892
অভি,90,52,0.57369,0.0,1.28685
জামাল,80,29,0.57157,0.0,1.28578
হাবুল,72,656,0.57081,0.0,1.28541
ভুবন,332,90,0.56787,0.0,1.28393
রমজান,27,470,0.5659,0.0,1.28295
মতি,682,99,0.56262,0.0,1.28131
আবু,78,435,0.56208,0.0,1.28104
মৌল,31,30,0.56075,0.0,1.28038
বাসে,76,164,0.56036,0.0,1.28018
আজিজ,90,57,0.56009,0.0,1.28004
নিদাঘ,21,121,0.55957,0.0,1.27978
দুর্গা,251,758,0.55904,0.0,1.27952
সেবক,68,123,0.55782,0.0,1.27891
জগন্নাথ,209,166,0.57739,0.0101,1.2786
ইন্দ্র,800,76,0.55556,0.0,1.27778
অক্ষয়,1149,76,0.55426,0.0,1.27713
মানসী,39,215,0.55408,0.0,1.27704
সুভদ্র,24,62,0.55243,0.0,1.27622
কানাইয়,23,214,0.55045,0.0,1.27522
মজিদ,387,22,0.54918,0.0,1.27459
শশী,1272,102,0.54853,0.0,1.27426
মহীতোষ,38,334,0.54632,0.0,1.27316
বিমল,1877,138,0.54602,0.0,1.27301
সংগে,28,75,0.54373,0.0,1.27186
যতীন,1048,167,0.56252,0.0101,1.27116
রক্ষিত,190,207,0.54208,0.0,1.27104
অবনী,43,1223,0.53924,0.0,1.26962
মিঞ,31,286,0.53764,0.0,1.26882
ভূপতি,316,136,0.5375,0.0,1.26875
শিবনাথ,203,168,0.53747,0.0,1.26873
প্রদ্যুম্ন,122,99,0.53602,0.0,1.26801
ময়না,73,240,0.53599,0.0,1.26799
শোভন,297,39,0.53572,0.0,1.26786
মাধব,227,121,0.53493,0.0,1.26746
গঙ্গারাম,300,237,0.53485,0.0,1.26743
মিঞা,103,612,0.53422,0.0,1.26711
অভয়,153,1753,0.53387,0.0,1.26694
বনমালী,244,103,0.53259,0.0,1.2663
ইতির,24,49,0.53095,0.0,1.26548
শকুন্তল,83,136,0.53085,0.0,1.26543
কাসেমের,75,36,0.53046,0.0,1.26523
প্রজাপতির,69,38,0.52737,0.0,1.26368
পুরন্দর,106,245,0.52654,0.0,1.26327
গ্রেট,25,89,0.52612,0.0,1.26306
মহেন্দ্র,3267,780,0.52546,0.0,1.26273
রাখাল,870,88,0.52507,0.0,1.26253
তে,217,74,0.52482,0.0,1.26241
অঞ্চল,367,384,0.54489,0.0101,1.26234
বাঘা,493,91,0.52467,0.0,1.26234
বালি,416,180,0.52457,0.0,1.26228
রবি,98,281,0.52188,0.0,1.26094
হের,38,99,0.52164,0.0,1.26082
পুষ্প,899,74,0.5213,0.0,1.26065
জবা,45,560,0.52054,0.0,1.26027
দিলজান,296,23,0.52005,0.0,1.26002
প্রাপ্ত,1529,100,0.51939,0.0,1.25969
প্রোফেসর,75,146,0.53916,0.0101,1.25948
নিখিল,226,136,0.51847,0.0,1.25924
পদের,520,36,0.51824,0.0,1.25912
দয়াল,340,108,0.51736,0.0,1.25868
তিল,126,133,0.51583,0.0,1.25791
কিম্বা,311,194,0.51485,0.0,1.25743
অল্পে,208,38,0.51475,0.0,1.25737
পিলে,99,99,0.51469,0.0,1.25734
মোতি,47,253,0.51444,0.0,1.25722
কাসেম,129,122,0.51407,0.0,1.25703
মাধুরী,74,843,0.514,0.0,1.257
হোল,237,88,0.51384,0.0,1.25692
নারায়ণ,114,381,0.51355,0.0,1.25678
সীতারাম,712,76,0.51348,0.0,1.25674
সুশীল,400,313,0.51304,0.0,1.25652
